,,,,,,DATAX,,,,,,,,DATAY,,,,,,,,DATAZ,,,,,,,,DELTAX,,,,,,,,DELTAY,,,,,,,,DELTAZ
MeshID,Points,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW
1,1271,,-0.924371004104614,-0.546082496643066,-0.408721523886447,0.849947392940521,0.167416531413179,0.409165652777917,0.485404901341503,1.07089939895044,-1.29998254776001,-0.463589251041412,-0.513408329651452,-0.141845598816872,0.0569122477017094,0.238562879974462,0.752765700712721,-0.965045238768082,1.30360782146454,2.50955486297607,2.38501451073623,4.97520875930786,0.669715516301068,0.818361482659752,0.702024889280178,1.10860767866003,-1.68937373161316,0.00112446025013924,0.000268260090369889,0.343703508377075,0.00828593319025676,0.0910271014053329,278.247003293421,-14.9730642092232,-0.55888307094574,0.000836089253425598,0.000171059546038852,0.926493853330612,0.00561734166845456,0.0749489270667336,29.6108847228398,1.70272775955768,-3.51532804965973,0.00198161602020264,0.000760511901434919,1.56353163719177,0.0343886525247458,0.18544177664363,177.249182337421,-8.34820473219802
2,1261,,-0.919229805469513,-0.549949467182159,-0.448748018657451,0.567369937896729,0.12743398697279,0.356978972731995,-0.108070624529312,0.873428085630422,-1.3598655462265,-0.468994200229645,-0.518786948153559,-0.148791119456291,0.058824444619777,0.242537511778646,0.774537534760533,-0.979633715175842,1.51536417007446,2.52998328208923,2.42855240776839,4.99571084976196,0.636238028863,0.797645302664662,0.604058844148177,1.04358741265496,-1.46887481212616,0.00160220265388489,0.000399934441324268,0.241335127560887,0.00607345893936153,0.077932399804969,228.250919725977,-12.8825978891275,-0.552870213985443,-0.00117738544940948,4.13015248283117E-05,0.791714787483215,0.00685712437311903,0.0828077555131102,17.6153748237535,0.65613169514224,-2.6806914806366,0.00126731395721436,0.000872969438159257,1.82526564598083,0.0517919301108177,0.227578404315563,65.9864662781724,-2.79342147482506
3,1235,,-0.917980790138245,-0.562705874443054,-0.455156657878622,0.595488607883453,0.121506519212824,0.348577852441637,-0.192858058978796,0.839171542153637,-1.32015264034271,-0.476631581783295,-0.527477813949469,-0.149675905704498,0.0592247706978531,0.243361399358758,0.611247505007101,-0.910707425577538,1.27503776550293,2.53987169265747,2.47467566994038,4.94379281997681,0.663351758663594,0.814464092924663,0.578008667819847,1.02510787956333,-1.5134693980217,0.00173509120941162,0.000373158259755012,0.246717048925348,0.00638732387236106,0.0799207349338146,229.854826723745,-13.0034826763416,-0.532614529132843,-0.000478744506835938,0.000111402143728852,0.938447147607803,0.00674838643312327,0.0821485631835595,27.444649174454,1.67329442858766,-3.29938519001007,0.00135976076126099,0.000844820005580793,1.76771664619446,0.0520754628134419,0.228200488197203,81.8635613473014,-4.08173485094867
4,792,,-0.907650589942932,-0.515550971031189,-0.367324359441218,0.793733835220337,0.187429655544352,0.43293146749151,0.203221054385464,1.00963219406579,-1.40277326107025,-0.570881515741348,-0.603234083664537,-0.151444628834724,0.0595283269494531,0.243984276029118,0.844386330214298,-1.10904560406791,0.984001517295837,2.49000716209412,2.41481482771912,4.9949688911438,0.728431633596851,0.853482064015906,0.774520505050061,1.10910642668525,-1.66274327039719,0.00246095657348633,0.000535399965028255,0.249590039253235,0.00919929623415479,0.0959129617630213,227.55388597781,-13.1353891764298,-0.527937293052673,-0.00189045071601868,-8.8456872139547E-05,1.01041260361671,0.00689620137371889,0.0830433704380963,54.1969428634745,3.50943057462387,-3.61333000659943,0.00234806537628174,0.00129936482903321,1.64277148246765,0.0544074562251654,0.23325405939697,147.572317787529,-8.07292862574539
5,3368,,-0.917198061943054,-0.446513071656227,-0.312427563348838,0.904057681560516,0.20560991296262,0.453442292869357,-0.555642683710279,0.721423461721765,-1.06273090839386,-0.15494878590107,-0.179399785934152,0.416143357753754,0.10035565085702,0.316789600298084,-0.455127329286801,-0.458082303865381,1.46110820770264,2.51254367828369,2.40509707687728,4.98994588851929,0.652191718041847,0.80758387678423,0.658157146793225,1.10309240997718,-1.80989766120911,0.00147700309753418,0.000213795425915251,0.425830431107897,0.00659514804613589,0.0812105168444081,305.500961345738,-15.3641165733313,-0.411978960037231,-0.00103101134300232,0.00021485483784467,0.72462771832943,0.00475091538277841,0.0689268843251921,9.15837795986361,0.68709363728756,-3.38443338871002,0.000435113906860352,0.000329443988511185,1.78010272979736,0.0295172264609503,0.171805781220977,165.97786728108,-6.83693077996318
6,3448,,-0.818226218223572,-0.366229370236397,-0.241045180458123,0.924609780311584,0.188850908639459,0.434569797201162,-0.62918901523982,0.701890121330979,-0.815730571746826,-0.138327315449715,-0.149978611577486,0.66328901052475,0.102212755466757,0.319707296549136,-0.762484256766414,-0.148373817405593,1.3329039812088,2.35429894924164,2.31656735260775,4.98941659927368,0.673483147505191,0.820660190033117,0.713885433227271,1.04991517431816,-1.72547507286072,0.00190615653991699,0.000437006557509911,0.359035551548004,0.00573561248857454,0.0757338265808254,242.457984336819,-12.6172084796434,-0.355379566550255,-0.00128632783889771,0.000166455684172881,0.490095198154449,0.00443777334677121,0.066616614645081,3.30305523144833,0.143347202925519,-3.43653523921967,0.000612735748291016,1.32554712454213E-05,1.80232667922974,0.0518951137871577,0.227804990698531,75.3991329612219,-3.28067178418633
7,3412,,-0.762143313884735,-0.394075348973274,-0.255693539141699,0.955438315868378,0.167557953611763,0.409338434075964,-0.233919928119686,0.888435467284628,-0.791454553604126,-0.125955797731876,-0.139719858735597,0.674045145511627,0.096633982723275,0.31086006936124,-0.778283205627027,-0.132981794762139,0.76832777261734,2.25913119316101,2.23941318348381,4.99475383758545,0.707377840712174,0.841057572769055,1.03353779967468,1.11821854431808,-1.64879977703094,0.00173580646514893,5.46375211472294E-05,0.492818146944046,0.00642707447195348,0.0801690368655722,250.212184006909,-13.5938915832918,-0.348073601722717,-0.00196337699890137,0.000193239516507331,0.551220685243607,0.0040892190120786,0.0639470015878665,4.72648214798158,0.319335051759511,-3.5416487455368,0.00134992599487305,2.35880619966983E-05,1.67200303077698,0.0400806810531718,0.200201601025496,125.35454210535,-6.05174696191176
8,3626,,-0.718006312847137,-0.299238473176956,-0.154453886006404,1.07573628425598,0.200151336101243,0.447382762409598,-0.512932825367895,0.804925367888009,-0.970868289470673,-0.101235285401344,-0.133952952062723,0.660955786705017,0.103437315625469,0.321616721619801,-0.382945393238842,-0.385857574223658,1.06018137931824,2.16764199733734,2.21993297167529,4.98039722442627,0.797379339177739,0.892960995328317,0.911397613546907,1.16130623263556,-1.75784939527512,0.00131160020828247,-4.17030268697632E-06,0.681559652090073,0.00806197193471742,0.0897884844215416,144.793745301741,-8.43017939504259,-0.439579352736473,-0.00221797823905945,0.000148382491078921,0.740175008773804,0.0041833288420461,0.0646786583197742,10.918850780012,0.762984496251322,-3.67518830299377,0.00126409530639648,7.2864006292288E-07,3.48503661155701,0.0861239204763815,0.293468772574496,87.2848850938922,-1.64311664033299
9,3695,,-0.698277175426483,-0.307948380708694,-0.15700892210547,1.16379642486572,0.188912282056486,0.434640405457761,-0.137531136973301,0.954093311840995,-0.985306084156036,-0.126817122101784,-0.151329044437366,0.671587765216827,0.0994878994792277,0.315417024713676,-0.368668865878342,-0.3130379421679,1.06218719482422,2.05664420127869,2.1482632621538,4.98404312133789,0.805237636331593,0.897350342024559,0.988145566226542,1.1731457344472,-1.28687697649002,0.00127765536308289,0.000344357041326425,0.678338706493378,0.0056029780459744,0.0748530429974253,152.98570751532,-8.88666418138721,-0.565294295549393,-0.00186802074313164,0.000130152691843511,0.58157280087471,0.00409209137438873,0.0639694565741239,10.3643893034162,0.18416166993907,-3.47143042087555,0.000785589218139648,6.79377097339989E-05,3.24189472198486,0.0484169740954459,0.220038574107918,116.469970008099,-3.96563083854522
10,3511,,-0.698302090167999,-0.301763117313385,-0.172810986499529,1.16876327991486,0.161612166250411,0.402010156899563,0.0112838705770341,0.966733098205452,-0.854408860206604,-0.129566222429276,-0.152142852800855,0.632290840148926,0.0805328171500391,0.283783045917192,-0.581433376914354,-0.205310017235714,0.888433277606964,1.93101334571838,2.05295332411489,4.86225891113281,0.70684946285275,0.840743398934984,1.68273147495378,1.30096650725672,-1.7218896150589,0.00167365372180939,0.000440839909420433,0.819930046796799,0.00645344162830589,0.0803333158054981,143.9569046754,-7.35358303393882,-0.385346442461014,-0.00114696825039573,0.00022733555390287,0.589628458023071,0.00379485062714936,0.0616023589414347,6.30280876418513,0.100064296228376,-3.4862949848175,0.00102883577346802,0.000935312451800218,3.53874325752258,0.0699192375354809,0.264422460346093,72.4757260074387,-1.87286970975425
