,,,,,,DATAX,,,,,,,,DATAY,,,,,,,,DATAZ,,,,,,,,DELTAX,,,,,,,,DELTAY,,,,,,,,DELTAZ,,,,,,,,AREAXY,,,,,,,,AREAXYZ,,,
MeshID,#Tris,#Vertices,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW
1,8621,4426,-0.924371004104614,-0.532623388063517,-0.3653991338639,0.849947392940521,0.21849167525889,0.467430931003598,-0.112902931747583,0.911374014936941,-1.29998254776001,-0.453266283134293,-0.512375919672923,-0.141845598816872,0.0688607857274027,0.262413387096395,0.413221918410118,-0.937172755733881,1.30360782146454,2.33167184392611,2.40833925909856,4.97520875930786,0.677968063797072,0.823388161074151,0.251089168537858,1.01157177099707,-1.7080458662478,-0.0106290747191751,0.000235660992040565,1.71939107705593,0.164218438023294,0.40523874200685,5.84364531923295,-0.132831747242788,-1.11532257207926,-0.000145163184912034,3.29747218876469E-05,1.11804660735652,0.0511144430299631,0.226085034953584,5.46384276351146,-0.210015012428069,-3.51532804965973,-0.0109025090932846,0.000286476216073763,3.17328722476959,0.378226664115392,0.615001352937855,5.62605969976102,0.14655457880769,3.76887854760836E-09,6.03027594971078E-05,0.000175885164747215,0.00907697023426316,1.88458759751905E-07,0.000434118370668536,74.8336667047768,7.31556692480894,5.69915229175893E-08,0.000277942880503118,0.00110576362652245,0.0305611321672241,5.67496123830854E-06,0.00238221771429661,35.3513634843501,5.134018003638
2,9021,4641,-0.919229805469513,-0.54610483178371,-0.420151663099431,0.567369937896729,0.151354842228339,0.389043496576332,-0.64838003308029,0.695833855070706,-1.3598655462265,-0.490899449499832,-0.545723410104744,-0.148791119456291,0.079036532042732,0.281134366527346,0.150509203914858,-0.809828681594171,1.51536417007446,2.52293348312378,2.53169993391043,4.99571084976196,0.744236570257445,0.862691468751978,-0.282908352291905,0.836676040599848,-1.46887481212616,-0.00843926245707793,0.000171140056540418,1.2816528089389,0.0961174053420037,0.310028071861249,3.81570819268633,-0.0620327449957153,-1.15056167804217,-0.00408487459984769,-0.000145108052061378,1.05939922981988,0.0621014170463759,0.249201559076937,4.12995884044771,-0.280190874730841,-2.95462958812714,-0.0506142654589246,0.00039979142361674,2.93044940829277,0.475158761235478,0.689317605487832,4.24219725976218,0.0586603414511998,4.6762715151365E-10,5.35750850152802E-05,0.000117250759539921,0.00527656385370028,5.57703667726201E-08,0.00023615750416326,127.045691732438,9.26933249542508,2.50176791349755E-09,0.000226473494915282,0.000741666255613871,0.0268969897758468,2.05717563766572E-06,0.00143428575871955,86.8634669732709,7.093248093179
3,8661,4449,-0.917980790138245,-0.5528165102005,-0.442705038148605,0.595488607883453,0.131541590343752,0.362686628294665,-0.485609130546713,0.715582200447225,-1.32015264034271,-0.478238981058852,-0.535009985750682,-0.149675905704498,0.0734123172580225,0.270947074643781,0.188076195874606,-0.845295239857861,1.27503776550293,2.52185463905334,2.51086234110409,4.94379281997681,0.703221523190951,0.838583044898328,0.0386874721435198,0.930449738992344,-1.5134693980217,-0.0997177792554096,0.000157049645826424,1.13071419007868,0.0753793569416559,0.274553012989579,3.70915408001913,-0.0839268347032675,-1.039225598229,0.173681591606695,-0.000130448503887075,1.04428994813538,0.0497087432346947,0.222954576617513,4.27144527622462,-0.0257454910953448,-3.29938519001007,-0.133644482493401,0.000424454195036305,2.7694003234307,0.377248670825975,0.614205723537297,4.83148549315863,0.0238573750950371,1.19691339475196E-08,5.55466137711311E-05,0.000118337365125839,0.00454956586446811,4.91817707679348E-08,0.000221769634458676,86.0234200205369,7.36082240278121,4.02246589656829E-08,0.000234598098582303,0.000734939874503089,0.0215988070247101,1.83280778687684E-06,0.00135381231597177,37.6137661528917,4.83009513587473
4,5761,2954,-0.907650589942932,-0.448066718035708,-0.299389406410508,0.793733835220337,0.226218486811507,0.475624312679142,-0.3524469268006,0.825145091450285,-1.40277326107025,-0.569521332051208,-0.620693889794819,-0.151444628834724,0.0771496789155453,0.277758310254698,0.345023775119002,-1.00145648600576,0.984001517295837,2.47630440337317,2.49141716621323,4.9949688911438,0.748431758453709,0.865119505301845,0.488948141625009,1.06539265547097,-1.69246108829975,-0.0203471997063522,0.000444164205936333,1.68554045822262,0.184901451846918,0.430001688190777,3.92176567752269,-0.198383720293152,-1.10943604260683,0.00297587819997436,-3.23334749056062E-05,1.11760532602952,0.0713193716902053,0.267056869767856,4.07350542660632,0.144005256436809,-3.61333000659943,0.0694090276956558,0.000417102148872234,3.36934762001038,0.572692212576693,0.756764304507482,4.68390124942292,-0.0784765558352699,5.50007723227201E-08,8.11459708788187E-05,0.000315537015335878,0.017004466475918,7.34937333157127E-07,0.000857284861150089,67.9722205141565,6.82070246267606,2.39246402052829E-07,0.000332156970816997,0.00151295765204697,0.114314653520101,1.47554917094698E-05,0.00384128776707367,164.186727192393,9.00960062503927
5,21101,10717,-0.917198061943054,-0.46606196679978,-0.27638296427718,0.904057681560516,0.249386717439598,0.49938634086206,-0.880203260749792,0.638746496087749,-1.06273090839386,-0.135188547280194,-0.176633815079517,0.416143357753754,0.111046281687458,0.333236075009081,-0.327421725901062,-0.543247456892098,1.46110820770264,2.40973518788815,2.42791414710091,4.98994588851929,0.642926602407213,0.801827040207059,0.312525279405303,1.03099720761509,-1.80989766120911,-0.0186568558917791,0.0001596090765882,1.61705007916316,0.155001442508111,0.393702225683461,5.23191525720968,-0.226053981392573,-1.43371802940965,-0.0126028057766634,2.21661372668558E-05,1.44236324448138,0.0857752305419955,0.292874086497928,5.58643417352966,-0.074882424771082,-3.38443338871002,0.0408590797867093,0.000223775651304523,2.86243222653866,0.303442866595017,0.550856484571995,6.38084373339325,-0.165295723697607,1.50900500422849E-08,4.69317295694617E-05,0.000118893513927164,0.00706876328818082,5.79501410797981E-08,0.000240728355371356,131.571047439986,8.66338569740922,2.38552878470214E-08,0.00026613351366574,0.000971322927048468,0.0619069899855472,4.48401951888239E-06,0.00211755035805111,114.502490651149,7.57076724672653
6,20530,10455,-0.818226218223572,-0.371337890625,-0.205839663023484,0.924609780311584,0.231318782457644,0.480956112818669,-0.98336336526973,0.591437065329386,-0.815730571746826,-0.139610841870308,-0.174691593659892,0.66328901052475,0.113125214611216,0.336340920215213,-0.786410682801916,-0.178117904491887,1.3329039812088,2.34125280380249,2.35986282496166,4.98941659927368,0.696508447278007,0.834570816215141,0.148142480005111,0.925588709183435,-1.72547507286072,-0.314247627740798,0.000158165923112703,1.7126406532876,0.14438823709662,0.379984522180338,4.73631264656349,-0.261216619866906,-1.28068035454718,0.148056185656122,2.83183248884491E-05,1.33077029994906,0.0846584539279079,0.290961258465638,4.30411257056428,-0.143009217734279,-3.45642431577047,-0.467942103743553,0.000136635391074066,2.88630400101344,0.352690871994019,0.593877825814383,5.16167462436572,-0.224932497199112,1.62969981975377E-08,4.56207992836946E-05,0.000118170471102027,0.00615531050987694,5.13866454136235E-08,0.000226686226784125,141.503639302148,9.03588121892913,2.06608875886872E-07,0.000388359455707587,0.00122167311570072,0.0800380344465578,6.40050386862679E-06,0.00252992171195608,102.55161983457,7.03690874571517
7,22504,11404,-0.762143313884735,-0.420161824933374,-0.232745972937092,0.955438315868378,0.199598171442839,0.446764111632569,-0.598638483407046,0.81033427976219,-0.791454553604126,-0.131041892750411,-0.137584242848954,0.674045145511627,0.0999747677349349,0.316187867785807,-0.668716425257174,-0.0510259748599207,0.76832777261734,2.22062337398529,2.23962265328923,4.99475383758545,0.650996510502187,0.806843547722969,0.878955809092379,1.10996912904393,-1.64879977703094,-0.0655275321311682,0.000149035864058559,1.44305659551674,0.12092397701251,0.347741250087633,4.89134428173807,-0.323232639545068,-1.42168978461996,0.392033479859085,1.51829554092609E-05,1.41102797072381,0.0775646022191972,0.278504222982699,4.31925020882608,-0.219813828705323,-3.5416487455368,-0.0537170001438685,0.000188039593829154,3.02434329688549,0.340369065267642,0.583411574506062,5.3879542269258,-0.339842027291385,6.04190611840882E-09,3.69000700824382E-05,0.000106900780945112,0.00645812818552326,4.81858418738961E-08,0.00021951273738418,122.256680912106,8.30730376849273,5.22857385428096E-08,0.000358628355299744,0.00122171120895318,0.0548909082239814,7.73792031473609E-06,0.00278171175982273,72.0577266320606,6.81331902690164
8,23006,11652,-0.718006312847137,-0.303557902574539,-0.107786360895528,1.07573628425598,0.251758129387539,0.50175504918988,-0.96962018144912,0.627625917185166,-0.970868289470673,-0.0926077792930786,-0.132792194723753,0.660955786705017,0.117173601885147,0.342306298342796,-0.365151905760215,-0.468398762963802,1.06018137931824,2.14471769332886,2.26623077513586,4.98039722442627,0.881464597646648,0.938863460598317,0.446403335151091,1.10135658932343,-1.76005598120872,1.39551279131201,0.00013066693382339,1.75727213470098,0.164917779367256,0.406100701017932,4.57891600170623,-0.19567705556653,-1.5027104946375,-0.500243024043468,-2.22737640372602E-06,1.45746301710281,0.103881339729383,0.322306282485128,4.36112485566819,-0.0360342911477363,-3.67518830299377,3.15441589270319,0.000247028086607206,3.67359823840005,0.512538958175224,0.715918262216591,6.66751912230971,-0.130438632630757,3.32489189981073E-09,3.4361652172633E-05,0.000114353412058349,0.0103689226423957,8.94001205614088E-08,0.000298998529363288,346.808314620299,14.8331976940033,4.19246411107119E-08,0.000358145401589138,0.00112499075757587,0.0547492629496658,6.18799097319826E-06,0.002487567280135,91.7160846119856,7.50683156210638
9,23646,11961,-0.698277175426483,-0.314958837296561,-0.113221145866586,1.16379642486572,0.233735014570498,0.483461492334703,-0.662273264509202,0.780566009661433,-0.985306084156036,-0.120877752577656,-0.153042971597414,0.671587765216827,0.105521645370385,0.324840953961142,-0.29842342448091,-0.343986157985692,1.06218719482422,2.05037903785706,2.20648104850569,4.98404312133789,0.852838272557299,0.923492432322702,0.545374104363861,1.12511755720779,-1.82537444587797,0.0365612134751299,0.00013464389752121,1.74345070456848,0.133294445938234,0.365095119028225,4.58910772009722,-0.188353775071925,-1.54711077136697,-0.0528401568961841,6.09163476523817E-06,1.5130825986415,0.0872770374842988,0.295426873327899,4.81413592647496,-0.0175378045468444,-3.47143042087555,-0.0678237080574036,0.000179723917839917,3.54248411953449,0.419067418941022,0.647354168088089,6.1177726273162,-0.101194590353314,2.78277999694555E-09,3.10518927178324E-05,0.000113705636468822,0.00837702663201014,8.63502693904659E-08,0.000293854163473084,194.18821852902,11.1956685688504,2.94914816519809E-08,0.000396382941083446,0.0011513557562097,0.0674370470372152,6.23942213357184E-06,0.00249788353082601,82.2083744514048,7.03870833348013
